Flightplan |   F 06 33 (TIG) ->   F 06 33 (TIG) - Display Decimal - TIG (hrs min .01sec)
Lunar Surface Operations |   F 04 06 ->   F 04 06 - Display Octal Comp 1&2  - R1=Option Code, R2=Desired Option, R3=Data (Octal)
Lunar Surface Operations |   F 22 06 ->   F 22 06 - Load Component 2 in R2 - R1=Option Code, R2=Desired Option, R3=Data (Octal)
Lunar Surface Operations |   F 06 34 T Align ->   F 06 34 T Align - Display Decimal - Time of Event (hrs min .01sec)
Lunar Surface Operations |   F 05 06 ->   F 05 06 - Display Octal Comp 1,2&3 - R1=Option Code, R2=Desired Option, R3=Data (Octal)
Lunar Surface Operations |   F 06 04 (+) Gravity Error Angle ->   F 06 04 (+) Gravity Error Angle - Display Decimal - Gravity Error Angle (.01°)
Lunar Surface Operations |   F 06 22 ICDU Angles ->   F 06 22 ICDU Angles - Display Decimal - New ICDU Angles Y,P,R, (OG,IG,MG) (.01°)
Lunar Surface Operations |   F 01 70 ->   F 01 70 - Display Octal Comp 1 in R1 - AOT Detent/Star Code (Octal)
Lunar Surface Operations |   F 06 79 Cursor, Spiral, Position Code ->   F 06 79 Cursor, Spiral, Position Code - Display Decimal - R1=Cursor Angle, R2=Spiral Angle, R3=Position Code (.01° .01° 0000X)
Lunar Surface Operations |   F 01 71 R1 00CDE C=DETENT DE=STAR CODE ->   F 01 71 R1 00CDE C=DETENT DE=STAR CODE - Display Octal Comp 1 in R1 - AOT Detent/Star Code (Octal)
Lunar Surface Operations |   F 54 71 Mark X or Y ->   F 54 71 Mark X or Y - Mark X or Y-Reticle - AOT Detent/Star Code (Octal)
Lunar Surface Operations |   F 06 79 Cursor, Spiral, Position Code ->   F 06 79 Cursor, Spiral, Position Code - Display Decimal - R1=Cursor Angle, R2=Spiral Angle, R3=Position Code (.01° .01° 0000X)
Lunar Surface Operations |   F 54 71 Mark X or Y ->   F 54 71 Mark X or Y - Mark X or Y-Reticle - AOT Detent/Star Code (Octal)
Lunar Surface Operations |   F 06 79 Cursor, Spiral, Position Code ->   F 06 79 Cursor, Spiral, Position Code - Display Decimal - R1=Cursor Angle, R2=Spiral Angle, R3=Position Code (.01° .01° 0000X)
Lunar Surface Operations |   F 54 71 Mark X or Y ->   F 54 71 Mark X or Y - Mark X or Y-Reticle - AOT Detent/Star Code (Octal)
Lunar Surface Operations |   F 06 79 Cursor, Spiral, Position Code ->   F 06 79 Cursor, Spiral, Position Code - Display Decimal - R1=Cursor Angle, R2=Spiral Angle, R3=Position Code (.01° .01° 0000X)
Lunar Surface Operations |   F 06 05 ->   F 06 05 - Display Decimal - Angular Error/Difference (.01°)
Lunar Surface Operations |   F 06 93 ->   F 06 93 - Display Decimal - d Gyro Torquing Angles, R1=X, R2=Y, R3=Z (.001°)
Lunar Surface Operations |   F 01 70 ->   F 01 70 - Display Octal Comp 1 in R1 - AOT Detent/Star Code (Octal)
Lunar Surface Operations |   F 06 79 Cursor, Spiral, Position Code ->   F 06 79 Cursor, Spiral, Position Code - Display Decimal - R1=Cursor Angle, R2=Spiral Angle, R3=Position Code (.01° .01° 0000X)
Lunar Surface Operations |   F 37 ->   F 37 - Change Program
Lunar Surface Operations |   F 37 ->   F 37 - Change Program
Lunar Surface Operations |   F 06 47 ->   F 06 47 - Display Decimal - R1=LM Weight, R2=CSM Weight (lbs)
Lunar Surface Operations |   F 06 33 TIG (Input TIG Ascent) ->   F 06 33 TIG (Input TIG Ascent) - Display Decimal - TIG (hrs min .01sec)
Lunar Surface Operations |   F 06 76 VH Final, Hdot Final, Xrng ->   F 06 76 VH Final, Hdot Final, Xrng - Display Decimal - R1=V (HOR), R2=V (VERT), R3=Crossrange (.1fps .1fps .1nm)
Lunar Surface Operations |   F 50 25 00203 ->   F 50 25 00203 - Please Perform - Checklist (Used with V50) (Octal)
Lunar Surface Operations |   F 06 74 TFI, YAW, PITCH ->   F 06 74 TFI, YAW, PITCH - Display Decimal - R1=TF (TFI), R2=Yaw, R3=Pitch (min-sec .01° .01°)
Lunar Liftoff |   F 04 06 ->   F 04 06 - Display Octal Comp 1&2  - R1=Option Code, R2=Desired Option, R3=Data (Octal)
Lunar Liftoff |   F 22 06 ->   F 22 06 - Load Component 2 in R2 - R1=Option Code, R2=Desired Option, R3=Data (Octal)
Lunar Liftoff |   F 05 06 ->   F 05 06 - Display Octal Comp 1,2&3 - R1=Option Code, R2=Desired Option, R3=Data (Octal)
Lunar Liftoff |   F 06 04 (+) Gravity Error Angle ->   F 06 04 (+) Gravity Error Angle - Display Decimal - Gravity Error Angle (.01°)
Lunar Liftoff |   F 06 22 ICDU Angles ->   F 06 22 ICDU Angles - Display Decimal - New ICDU Angles Y,P,R, (OG,IG,MG) (.01°)
Lunar Liftoff |   F 01 70 ->   F 01 70 - Display Octal Comp 1 in R1 - AOT Detent/Star Code (Octal)
Lunar Liftoff |   F 06 79 Cursor, Spiral, Position Code ->   F 06 79 Cursor, Spiral, Position Code - Display Decimal - R1=Cursor Angle, R2=Spiral Angle, R3=Position Code (.01° .01° 0000X)
Lunar Liftoff |   F 01 71 R1 00CDE C=DETENT DE=STAR CODE ->   F 01 71 R1 00CDE C=DETENT DE=STAR CODE - Display Octal Comp 1 in R1 - AOT Detent/Star Code (Octal)
Lunar Liftoff |   F 54 71 Mark X or Y ->   F 54 71 Mark X or Y - Mark X or Y-Reticle - AOT Detent/Star Code (Octal)
Lunar Liftoff |   F 06 79 Cursor, Spiral, Position Code ->   F 06 79 Cursor, Spiral, Position Code - Display Decimal - R1=Cursor Angle, R2=Spiral Angle, R3=Position Code (.01° .01° 0000X)
Lunar Liftoff |   F 54 71 Mark X or Y ->   F 54 71 Mark X or Y - Mark X or Y-Reticle - AOT Detent/Star Code (Octal)
Lunar Liftoff |   F 06 79 Cursor, Spiral, Position Code ->   F 06 79 Cursor, Spiral, Position Code - Display Decimal - R1=Cursor Angle, R2=Spiral Angle, R3=Position Code (.01° .01° 0000X)
Lunar Liftoff |   F 54 71 Mark X or Y ->   F 54 71 Mark X or Y - Mark X or Y-Reticle - AOT Detent/Star Code (Octal)
Lunar Liftoff |   F 06 79 Cursor, Spiral, Position Code ->   F 06 79 Cursor, Spiral, Position Code - Display Decimal - R1=Cursor Angle, R2=Spiral Angle, R3=Position Code (.01° .01° 0000X)
Lunar Liftoff |   F 06 05 ->   F 06 05 - Display Decimal - Angular Error/Difference (.01°)
Lunar Liftoff |   F 06 05 ->   F 06 05 - Display Decimal - Angular Error/Difference (.01°)
Lunar Liftoff |   F 06 93 ->   F 06 93 - Display Decimal - d Gyro Torquing Angles, R1=X, R2=Y, R3=Z (.001°)
Lunar Liftoff |  F 04 12 ->  F 04 12 - Display Octal Comp 1&2  - R1=Option Code (Extended Verbs Only), R2=Desired Option (Octal)
Lunar Liftoff |  F 16 72 TRUN, SHAFT (.01 deg) ->  F 16 72 TRUN, SHAFT (.01 deg) - Monitor Decimal - R1=RR Trunnion Angle, R2=RR Shaft Angle (.01°)
Lunar Liftoff |  F 16 78 RANGE, RANGE RATE, TFI (.01nm, fps, min-sec) ->  F 16 78 RANGE, RANGE RATE, TFI (.01nm, fps, min-sec) - Monitor Decimal - R1=RR Range, R2=RR Range Rate (.01nm fps)
Lunar Liftoff |   F 04 06 ->   F 04 06 - Display Octal Comp 1&2  - R1=Option Code, R2=Desired Option, R3=Data (Octal)
Lunar Liftoff |   F 22 06 ->   F 22 06 - Load Component 2 in R2 - R1=Option Code, R2=Desired Option, R3=Data (Octal)
Lunar Liftoff |   F 06 34 T Align ->   F 06 34 T Align - Display Decimal - Time of Event (hrs min .01sec)
Lunar Liftoff |   F 05 06 ->   F 05 06 - Display Octal Comp 1,2&3 - R1=Option Code, R2=Desired Option, R3=Data (Octal)
Lunar Liftoff |   F 06 04 (+) Gravity Error Angle ->   F 06 04 (+) Gravity Error Angle - Display Decimal - Gravity Error Angle (.01°)
Lunar Liftoff |   F 06 22 ICDU Angles ->   F 06 22 ICDU Angles - Display Decimal - New ICDU Angles Y,P,R, (OG,IG,MG) (.01°)
Lunar Liftoff |   F 01 70 ->   F 01 70 - Display Octal Comp 1 in R1 - AOT Detent/Star Code (Octal)
Lunar Liftoff |   F 06 79 Cursor, Spiral, Position Code ->   F 06 79 Cursor, Spiral, Position Code - Display Decimal - R1=Cursor Angle, R2=Spiral Angle, R3=Position Code (.01° .01° 0000X)
Lunar Liftoff |   F 01 71 R1 00CDE C=DETENT DE=STAR CODE ->   F 01 71 R1 00CDE C=DETENT DE=STAR CODE - Display Octal Comp 1 in R1 - AOT Detent/Star Code (Octal)
Lunar Liftoff |   F 54 71 Mark X or Y ->   F 54 71 Mark X or Y - Mark X or Y-Reticle - AOT Detent/Star Code (Octal)
Lunar Liftoff |   F 06 79 Cursor, Spiral, Position Code ->   F 06 79 Cursor, Spiral, Position Code - Display Decimal - R1=Cursor Angle, R2=Spiral Angle, R3=Position Code (.01° .01° 0000X)
Lunar Liftoff |   F 54 71 Mark X or Y ->   F 54 71 Mark X or Y - Mark X or Y-Reticle - AOT Detent/Star Code (Octal)
Lunar Liftoff |   F 06 79 Cursor, Spiral, Position Code ->   F 06 79 Cursor, Spiral, Position Code - Display Decimal - R1=Cursor Angle, R2=Spiral Angle, R3=Position Code (.01° .01° 0000X)
Lunar Liftoff |   F 54 71 Mark X or Y ->   F 54 71 Mark X or Y - Mark X or Y-Reticle - AOT Detent/Star Code (Octal)
Lunar Liftoff |   F 06 79 Cursor, Spiral, Position Code ->   F 06 79 Cursor, Spiral, Position Code - Display Decimal - R1=Cursor Angle, R2=Spiral Angle, R3=Position Code (.01° .01° 0000X)
Lunar Liftoff |   F 06 05 ->   F 06 05 - Display Decimal - Angular Error/Difference (.01°)
Lunar Liftoff |   F 06 93 ->   F 06 93 - Display Decimal - d Gyro Torquing Angles, R1=X, R2=Y, R3=Z (.001°)
Lunar Liftoff |   F 01 70 ->   F 01 70 - Display Octal Comp 1 in R1 - AOT Detent/Star Code (Octal)
Lunar Liftoff |   F 06 79 Cursor, Spiral, Position Code ->   F 06 79 Cursor, Spiral, Position Code - Display Decimal - R1=Cursor Angle, R2=Spiral Angle, R3=Position Code (.01° .01° 0000X)
Lunar Liftoff |   F 06 47 ->   F 06 47 - Display Decimal - R1=LM Weight, R2=CSM Weight (lbs)
Lunar Liftoff |   F 06 33 TIG (Input PAD TIG) ->   F 06 33 TIG (Input PAD TIG) - Display Decimal - TIG (hrs min .01sec)
Lunar Liftoff |   F 06 76 VH Final, Hdot Final, Xrng (Input PAD Values) ->   F 06 76 VH Final, Hdot Final, Xrng (Input PAD Values) - Display Decimal - R1=V (HOR), R2=V (VERT), R3=Crossrange (.1fps .1fps .1nm)
Lunar Liftoff |   F 06 74 TFI, YAW, PITCH ->   F 06 74 TFI, YAW, PITCH - Display Decimal - R1=TF (TFI), R2=Yaw, R3=Pitch (min-sec .01° .01°)
Lunar Liftoff |   06 74 TFI, YAW, PITCH ->   06 74 TFI, YAW, PITCH - Display Decimal - R1=TF (TFI), R2=Yaw, R3=Pitch (min-sec .01° .01°)
Lunar Liftoff |   F 06 63 VI, Hdot, H ->   F 06 63 VI, Hdot, H - Display Decimal - R1=VI, R2=H DOT, R3=H (.1fps .1fps ft)
Lunar Liftoff |   16 76 (VH, Vv, dR) ->   16 76 (VH, Vv, dR) - Monitor Decimal - R1=V (HOR), R2=V (VERT), R3=Crossrange (.1fps .1fps .1nm)
Lunar Liftoff |   16 77 (Tgo, VY) ->   16 77 (Tgo, VY) - Monitor Decimal - R1=T to Engine Cutoff, R2=Velocity Normal To CSM Plane (min-sec .1fps)
Lunar Liftoff |   16 85 VG XYZ (LM) ->   16 85 VG XYZ (LM) - Monitor Decimal - R1=dGX (LM) (+Up), R2=dGY (LM) (+Rt), R3=dGZ (LM) (+Fwd) (.1fps)
Lunar Liftoff |   F 16 63 VI Hdot, H ->   F 16 63 VI Hdot, H - Monitor Decimal - R1=VI, R2=H DOT, R3=H (.1fps .1fps ft)
Lunar Liftoff |   F 16 85 VG XYZ (LM) ->   F 16 85 VG XYZ (LM) - Monitor Decimal - R1=dGX (LM) (+Up), R2=dGY (LM) (+Rt), R3=dGZ (LM) (+Fwd) (.1fps)
Lunar Liftoff |   F 16 44 HA, HP, TFF ->   F 16 44 HA, HP, TFF - Monitor Decimal - R1=Apogee, R2=Perigee, R3=TFF (Time of Free Fall) (.1nm .1nm min-sec)
Lunar Liftoff |   F 37 ->   F 37 - Change Program
Rendezvous |   F 06 47 ->   F 06 47 - Display Decimal - R1=LM Weight, R2=CSM Weight (lbs)
Rendezvous |   F 06 47 ->   F 06 47 - Display Decimal - R1=LM Weight, R2=CSM Weight (lbs)
Rendezvous |   F 50 18 Request MNVR to FDAI RPY Angles ->   F 50 18 Request MNVR to FDAI RPY Angles - Please Perform - Desired Maneuver to FDAI RPY Angles (.01°)
Rendezvous |   06 18 Auto MNVR to FDAI RPY Angles ->   06 18 Auto MNVR to FDAI RPY Angles - Display Decimal - Desired Maneuver to FDAI RPY Angles (.01°)
Rendezvous |   F 50 18 Request MNVR to FDAI RPY Angles ->   F 50 18 Request MNVR to FDAI RPY Angles - Please Perform - Desired Maneuver to FDAI RPY Angles (.01°)
Rendezvous |   F 50 72 RR TRUN/SHFT ->   F 50 72 RR TRUN/SHFT - Please Perform - R1=RR Trunnion Angle, R2=RR Shaft Angle (.01°)
Rendezvous |   F 06 99 Monitor Convergence ->   F 06 99 Monitor Convergence - Display Decimal - R1=RMS Position, R2=RMS Velocity, R3=Radar Bias Angle (ft .1fps mr)
Rendezvous |   F 01 46 ->   F 01 46 - Display Octal Comp 1 in R1 - Digital Autopilot Configuration (Octal)
Rendezvous |   F 06 47 ->   F 06 47 - Display Decimal - R1=LM Weight, R2=CSM Weight (lbs)
Rendezvous |   F 16 83 dV XYZ ->   F 16 83 dV XYZ - Monitor Decimal - R1=dVX (LM) (+Up), R2=dVY (LM) (+Rt), R3=dVZ (LM) (+Fwd) (.1fps)
Rendezvous |  F 04 12 ->  F 04 12 - Display Octal Comp 1&2  - R1=Option Code (Extended Verbs Only), R2=Desired Option (Octal)
Rendezvous |  F 16 72 TRUN, SHAFT (.01 deg) ->  F 16 72 TRUN, SHAFT (.01 deg) - Monitor Decimal - R1=RR Trunnion Angle, R2=RR Shaft Angle (.01°)
Rendezvous |  F 16 78 RANGE, RANGE RATE, TFI (.01nm, fps, min-sec) ->  F 16 78 RANGE, RANGE RATE, TFI (.01nm, fps, min-sec) - Monitor Decimal - R1=RR Range, R2=RR Range Rate (.01nm fps)
CSI |   F 06 11 TIG of CSI (Load PAD Value) ->   F 06 11 TIG of CSI (Load PAD Value) - Display Decimal - TIG CSI/T(APOAPSIS) (hrs min .01sec)
CSI |   F 06 55 APSIS CDH, TPI ELEVATION ANGLE, CENTRAL ANGLE ->   F 06 55 APSIS CDH, TPI ELEVATION ANGLE, CENTRAL ANGLE - Display Decimal - R1=No of Apsis Crossings, R2=Elevation Angle, R3=Central Angle (0000X. .01° .01°)
CSI |   F 06 37 TIG of TPI (Load PAD Value) ->   F 06 37 TIG of TPI (Load PAD Value) - Display Decimal - TIG TPI (hrs min .01sec)
CSI |   F 16 45 MARKS, TFI, -00001 ->   F 16 45 MARKS, TFI, -00001 - Monitor Decimal - R1=Marks, R2=TFI Of Next/From Last Burn, R3=MGA (XXXXX. min-sec .01°)
CSI |   F 16 45 MARKS, TFI, -00001 ->   F 16 45 MARKS, TFI, -00001 - Monitor Decimal - R1=Marks, R2=TFI Of Next/From Last Burn, R3=MGA (XXXXX. min-sec .01°)
CSI |   F 16 45 MARKS, TFI, -00001 ->   F 16 45 MARKS, TFI, -00001 - Monitor Decimal - R1=Marks, R2=TFI Of Next/From Last Burn, R3=MGA (XXXXX. min-sec .01°)
CSI |   F 06 75 dH, dT CSI/CDH, dT CDH/TPI ->   F 06 75 dH, dT CSI/CDH, dT CDH/TPI - Display Decimal - R1=dH, R2=dT (CDH-CSI/TPI-CDH), R3=dT (TPI-CDH/TPI-Nom TPI) (.1nm min-sec min-sec)
CSI |   F 06 81 dV XYZ (LV-CSI) ->   F 06 81 dV XYZ (LV-CSI) - Display Decimal - R1=dVX (LV) (+Fwd), R2=dVY (LV) (+Rt), R3=dVZ (LV) (+Dn) (.1fps)
CSI |   F 06 82 dV XYZ (LV-CDH) ->   F 06 82 dV XYZ (LV-CDH) - Display Decimal - R1=dVX (LV) (+Fwd), R2=dVY (LV) (+Rt), R3=dVZ (LV) (+Dn) (.1fps)
CSI |   F 16 45 MARKS, TFI, -00001 ->   F 16 45 MARKS, TFI, -00001 - Monitor Decimal - R1=Marks, R2=TFI Of Next/From Last Burn, R3=MGA (XXXXX. min-sec .01°)
CSI |   F 06 16 Load CSI Time ->   F 06 16 Load CSI Time - Display Decimal - Time of Event (Extended Verbs Only) (hrs min .01sec)
CSI |   F 06 90 Y, Ydot, PSI ->   F 06 90 Y, Ydot, PSI - Display Decimal - Rendezvous Out of Plane Parameter, R1=Y, R2=YDOT, R3=PSI (.01nm .1fps .01°)
CSI |   F 16 45 MARKS, TFI, -00001 ->   F 16 45 MARKS, TFI, -00001 - Monitor Decimal - R1=Marks, R2=TFI Of Next/From Last Burn, R3=MGA (XXXXX. min-sec .01°)
CSI |   F 06 75 dH, dT CSI/CDH, dT CDH/TPI ->   F 06 75 dH, dT CSI/CDH, dT CDH/TPI - Display Decimal - R1=dH, R2=dT (CDH-CSI/TPI-CDH), R3=dT (TPI-CDH/TPI-Nom TPI) (.1nm min-sec min-sec)
CSI |   F 06 81 dV XYZ (LV-CSI) ->   F 06 81 dV XYZ (LV-CSI) - Display Decimal - R1=dVX (LV) (+Fwd), R2=dVY (LV) (+Rt), R3=dVZ (LV) (+Dn) (.1fps)
CSI |   F 06 82 dV XYZ (LV-CDH) ->   F 06 82 dV XYZ (LV-CDH) - Display Decimal - R1=dVX (LV) (+Fwd), R2=dVY (LV) (+Rt), R3=dVZ (LV) (+Dn) (.1fps)
CSI |   F 16 45 MARKS, TFI, MGA ->   F 16 45 MARKS, TFI, MGA - Monitor Decimal - R1=Marks, R2=TFI Of Next/From Last Burn, R3=MGA (XXXXX. min-sec .01°)
CSI |   F 16 45 MARKS, TFI, MGA ->   F 16 45 MARKS, TFI, MGA - Monitor Decimal - R1=Marks, R2=TFI Of Next/From Last Burn, R3=MGA (XXXXX. min-sec .01°)
CSI |   F 16 45 MARKS, TFI, MGA ->   F 16 45 MARKS, TFI, MGA - Monitor Decimal - R1=Marks, R2=TFI Of Next/From Last Burn, R3=MGA (XXXXX. min-sec .01°)
CSI |   F 37 ->   F 37 - Change Program
CSI |   F 50 18 Request MNVR to FDAI RPY Angles ->   F 50 18 Request MNVR to FDAI RPY Angles - Please Perform - Desired Maneuver to FDAI RPY Angles (.01°)
CSI |   16 85 VG XYZ (LM) ->   16 85 VG XYZ (LM) - Monitor Decimal - R1=dGX (LM) (+Up), R2=dGY (LM) (+Rt), R3=dGZ (LM) (+Fwd) (.1fps)
CSI |   F 06 86 dVX, dVY, dVZ  ->   F 06 86 dVX, dVY, dVZ  - Display Decimal - R1=dGX (LV) (+Fwd), R2=dGY (LV) (+Rt), R3=dGZ (LV) (+Dn) (.1fps)
CSI |   16 85 (AVE G ON) ->   16 85 (AVE G ON) - Monitor Decimal - R1=dGX (LM) (+Up), R2=dGY (LM) (+Rt), R3=dGZ (LM) (+Fwd) (.1fps)
CSI |   F 16 85 VG XYZ (LM) ->   F 16 85 VG XYZ (LM) - Monitor Decimal - R1=dGX (LM) (+Up), R2=dGY (LM) (+Rt), R3=dGZ (LM) (+Fwd) (.1fps)
CSI |   F 37 ->   F 37 - Change Program
CDH |   F 06 13 TIG of CDH ->   F 06 13 TIG of CDH - Display Decimal - TIG CDH (hrs min .01sec)
CDH |   F 16 45 MARKS, TFI, -00001 ->   F 16 45 MARKS, TFI, -00001 - Monitor Decimal - R1=Marks, R2=TFI Of Next/From Last Burn, R3=MGA (XXXXX. min-sec .01°)
CDH |   F 06 99 ->   F 06 99 - Display Decimal - R1=RMS Position, R2=RMS Velocity, R3=Radar Bias Angle (ft .1fps mr)
CDH |   F 16 45 MARKS, TFI, -00001 ->   F 16 45 MARKS, TFI, -00001 - Monitor Decimal - R1=Marks, R2=TFI Of Next/From Last Burn, R3=MGA (XXXXX. min-sec .01°)
CDH |   F 06 75 dH, dT CDH/TPI, dT TPI/TPI ->   F 06 75 dH, dT CDH/TPI, dT TPI/TPI - Display Decimal - R1=dH, R2=dT (CDH-CSI/TPI-CDH), R3=dT (TPI-CDH/TPI-Nom TPI) (.1nm min-sec min-sec)
CDH |   F 06 81 dV XYZ (LV-CDH) ->   F 06 81 dV XYZ (LV-CDH) - Display Decimal - R1=dVX (LV) (+Fwd), R2=dVY (LV) (+Rt), R3=dVZ (LV) (+Dn) (.1fps)
CDH |   F 16 45 MARKS, TFI, -00001 ->   F 16 45 MARKS, TFI, -00001 - Monitor Decimal - R1=Marks, R2=TFI Of Next/From Last Burn, R3=MGA (XXXXX. min-sec .01°)
CDH |   F 06 16 Load TIG Plane Change (CDH -30m) ->   F 06 16 Load TIG Plane Change (CDH -30m) - Display Decimal - Time of Event (Extended Verbs Only) (hrs min .01sec)
CDH |   F 06 90 Y, Ydot, PSI ->   F 06 90 Y, Ydot, PSI - Display Decimal - Rendezvous Out of Plane Parameter, R1=Y, R2=YDOT, R3=PSI (.01nm .1fps .01°)
CDH |   F 16 45 MARKS, TFI, -00001 ->   F 16 45 MARKS, TFI, -00001 - Monitor Decimal - R1=Marks, R2=TFI Of Next/From Last Burn, R3=MGA (XXXXX. min-sec .01°)
CDH |   F 06 75 dH, dT CDH/TPI, dT TPI/TPI ->   F 06 75 dH, dT CDH/TPI, dT TPI/TPI - Display Decimal - R1=dH, R2=dT (CDH-CSI/TPI-CDH), R3=dT (TPI-CDH/TPI-Nom TPI) (.1nm min-sec min-sec)
CDH |   F 06 81 dV XYZ (LV-CDH) ->   F 06 81 dV XYZ (LV-CDH) - Display Decimal - R1=dVX (LV) (+Fwd), R2=dVY (LV) (+Rt), R3=dVZ (LV) (+Dn) (.1fps)
CDH |   F 16 45 MARKS, TFI, MGA ->   F 16 45 MARKS, TFI, MGA - Monitor Decimal - R1=Marks, R2=TFI Of Next/From Last Burn, R3=MGA (XXXXX. min-sec .01°)
CDH |   F 06 75 dH, dT CDH/TPI, dT TPI/TPI ->   F 06 75 dH, dT CDH/TPI, dT TPI/TPI - Display Decimal - R1=dH, R2=dT (CDH-CSI/TPI-CDH), R3=dT (TPI-CDH/TPI-Nom TPI) (.1nm min-sec min-sec)
CDH |   F 06 81 dV XYZ (LV-CDH) ->   F 06 81 dV XYZ (LV-CDH) - Display Decimal - R1=dVX (LV) (+Fwd), R2=dVY (LV) (+Rt), R3=dVZ (LV) (+Dn) (.1fps)
CDH |   F 16 45 MARKS, TFI, -00001 ->   F 16 45 MARKS, TFI, -00001 - Monitor Decimal - R1=Marks, R2=TFI Of Next/From Last Burn, R3=MGA (XXXXX. min-sec .01°)
CDH |   F 06 16 Load CDH Time ->   F 06 16 Load CDH Time - Display Decimal - Time of Event (Extended Verbs Only) (hrs min .01sec)
CDH |   F 06 90 Y, Ydot, PSI ->   F 06 90 Y, Ydot, PSI - Display Decimal - Rendezvous Out of Plane Parameter, R1=Y, R2=YDOT, R3=PSI (.01nm .1fps .01°)
CDH |   F 16 45 MARKS, TFI, -00001 ->   F 16 45 MARKS, TFI, -00001 - Monitor Decimal - R1=Marks, R2=TFI Of Next/From Last Burn, R3=MGA (XXXXX. min-sec .01°)
CDH |   F 06 75 dH, dT CDH/TPI, dT TPI/TPI ->   F 06 75 dH, dT CDH/TPI, dT TPI/TPI - Display Decimal - R1=dH, R2=dT (CDH-CSI/TPI-CDH), R3=dT (TPI-CDH/TPI-Nom TPI) (.1nm min-sec min-sec)
CDH |   F 06 81 dV XYZ (LV-CDH) ->   F 06 81 dV XYZ (LV-CDH) - Display Decimal - R1=dVX (LV) (+Fwd), R2=dVY (LV) (+Rt), R3=dVZ (LV) (+Dn) (.1fps)
CDH |   F 16 45 MARKS, TFI, MGA ->   F 16 45 MARKS, TFI, MGA - Monitor Decimal - R1=Marks, R2=TFI Of Next/From Last Burn, R3=MGA (XXXXX. min-sec .01°)
CDH |   F 16 45 MARKS, TFI, MGA ->   F 16 45 MARKS, TFI, MGA - Monitor Decimal - R1=Marks, R2=TFI Of Next/From Last Burn, R3=MGA (XXXXX. min-sec .01°)
CDH |   F 37 ->   F 37 - Change Program
CDH |   F 50 18 Request MNVR to FDAI RPY Angles ->   F 50 18 Request MNVR to FDAI RPY Angles - Please Perform - Desired Maneuver to FDAI RPY Angles (.01°)
CDH |   16 85 VG XYZ (LM) ->   16 85 VG XYZ (LM) - Monitor Decimal - R1=dGX (LM) (+Up), R2=dGY (LM) (+Rt), R3=dGZ (LM) (+Fwd) (.1fps)
CDH |   F 06 86 dVX, dVY, dVZ  ->   F 06 86 dVX, dVY, dVZ  - Display Decimal - R1=dGX (LV) (+Fwd), R2=dGY (LV) (+Rt), R3=dGZ (LV) (+Dn) (.1fps)
CDH |   16 85 (AVE G ON) ->   16 85 (AVE G ON) - Monitor Decimal - R1=dGX (LM) (+Up), R2=dGY (LM) (+Rt), R3=dGZ (LM) (+Fwd) (.1fps)
CDH |   F 16 85 VG XYZ (LM) ->   F 16 85 VG XYZ (LM) - Monitor Decimal - R1=dGX (LM) (+Up), R2=dGY (LM) (+Rt), R3=dGZ (LM) (+Fwd) (.1fps)
CDH |   F 37 ->   F 37 - Change Program
PC |   F 37 ->   F 37 - Change Program
PC |   F 06 33 TIG Plane Change (CDH -30m) ->   F 06 33 TIG Plane Change (CDH -30m) - Display Decimal - TIG (hrs min .01sec)
PC |   F 06 81 DV XYZ (LV) ->   F 06 81 DV XYZ (LV) - Display Decimal - R1=dVX (LV) (+Fwd), R2=dVY (LV) (+Rt), R3=dVZ (LV) (+Dn) (.1fps)
PC |   F 06 16 Load TIG Plane Change (CDH -30m) ->   F 06 16 Load TIG Plane Change (CDH -30m) - Display Decimal - Time of Event (Extended Verbs Only) (hrs min .01sec)
PC |   F 06 90 Y, Ydot, PSI ->   F 06 90 Y, Ydot, PSI - Display Decimal - Rendezvous Out of Plane Parameter, R1=Y, R2=YDOT, R3=PSI (.01nm .1fps .01°)
PC |   F 06 81 dV XYZ (LV) ->   F 06 81 dV XYZ (LV) - Display Decimal - R1=dVX (LV) (+Fwd), R2=dVY (LV) (+Rt), R3=dVZ (LV) (+Dn) (.1fps)
PC |   F 06 42 HA, HP, DV (REQ) ->   F 06 42 HA, HP, DV (REQ) - Display Decimal - R1=Apogee, R2=Perigee R3=dV (Required) (.1nm .1nm .1fps)
PC |   F 16 45 MARKS, TFI, MGA ->   F 16 45 MARKS, TFI, MGA - Monitor Decimal - R1=Marks, R2=TFI Of Next/From Last Burn, R3=MGA (XXXXX. min-sec .01°)
PC |   F 37 ->   F 37 - Change Program
PC |   F 50 18 Request MNVR to FDAI RPY Angles ->   F 50 18 Request MNVR to FDAI RPY Angles - Please Perform - Desired Maneuver to FDAI RPY Angles (.01°)
PC |   16 85 VG XYZ (LM) ->   16 85 VG XYZ (LM) - Monitor Decimal - R1=dGX (LM) (+Up), R2=dGY (LM) (+Rt), R3=dGZ (LM) (+Fwd) (.1fps)
PC |   F 16 85 VG XYZ (LM) ->   F 16 85 VG XYZ (LM) - Monitor Decimal - R1=dGX (LM) (+Up), R2=dGY (LM) (+Rt), R3=dGZ (LM) (+Fwd) (.1fps)
PC |   F 37 ->   F 37 - Change Program
PC |   F 06 13 TIG of CDH ->   F 06 13 TIG of CDH - Display Decimal - TIG CDH (hrs min .01sec)
