Lunar Surface Operations | 400+3 -> 400+3 - IMU Align
Lunar Surface Operations | 413+1 -> 413+1 - Store Lunar Azimuth
Lunar Surface Operations | 047R -> 047R - Sine of Landing Azimuth Angle (Octal)
Lunar Surface Operations | 053R -> 053R - Cosine of Landing Azimuth Angle (Octal)
Lunar Surface Operations | 047 -> 047 - Sine of Landing Azimuth Angle (Octal)
Lunar Surface Operations | 053 -> 053 - Cosine of Landing Azimuth Angle (Octal)
Lunar Surface Operations | 225 -> 225 - Lower limit of aL (O.I.) (100 ft)
Lunar Surface Operations | 226 -> 226 - Upper limit of aL (O.I.) (100 ft)
Lunar Surface Operations | 231 -> 231 - Radial Distance of Launch Site From Center of Moon (100 ft)
Lunar Surface Operations | 465+00320 -> 465+00320 - Target Radial Rate at Insertion (.1fps)
Lunar Surface Operations | 547R -> 547R - Lunar Align Azimuth Correction (Octal)
Lunar Surface Operations | 623+0 -> 623+0 - Z Body Parallel to CSM Orbit Plane When in Guidance Steering (400 set to +10000)
Lunar Surface Operations | 400+4 -> 400+4 - Lunar Align
Lunar Surface Operations | 400+1 -> 400+1 - Auto Guidance Steering
Lunar Surface Operations | 000+88888 -> 000+88888 - DEDA Display Segment Test
Lunar Surface Operations | 123-45679 -> 123-45679 - Sign and Sequence Logic Test
Lunar Surface Operations | 412+0 Reinitiate Test -> 412+0 Reinitiate Test - Reinitiate Test
Lunar Surface Operations | 412R -> 412R - IN FLIGHT SELF TEST STATUS INDICATOR
Lunar Surface Operations | 574R Descent Stage Flag (+ Not Staged) -> 574R Descent Stage Flag (+ Not Staged) - Section Staging Flag (+ not staged) (Octal)
Lunar Surface Operations | 604R Lunar Surface Flag (- On Lunar Surface) -> 604R Lunar Surface Flag (- On Lunar Surface) - Lunar Surface Flag (+ not on Lunar Surface) (Octal)
Lunar Surface Operations | 612R Staging Seq Counter (+0 Att Hold At Abort Stage) -> 612R Staging Seq Counter (+0 Att Hold At Abort Stage) - Staging sequence counter (Octal)
Lunar Surface Operations | 377+ -> 377+ - AGS Computer Time (T) (.1 min)
Lunar Liftoff | 400+3E -> 400+3E - IMU Align
Lunar Liftoff | 413+1E -> 413+1E - Store Lunar Azimuth
Lunar Liftoff | 544R -> 544R - X Gyro Drift Comp (.01deg/hr)
Lunar Liftoff | 545R -> 545R - Y Gyro Drift Comp (.01deg/hr)
Lunar Liftoff | 546R -> 546R - Z Gyro Drift Comp (.01deg/hr)
Lunar Liftoff | 400+6E -> 400+6E - Gyro and Accelerometer Calibration (302sec,32sec)
Lunar Liftoff | 400R (+ 0 Calibrate Complete In 5 min 2 sec) -> 400R (+ 0 Calibrate Complete In 5 min 2 sec) - AGS FUNCTION SELECTOR
Lunar Liftoff | 544R -> 544R - X Gyro Drift Comp (.01deg/hr)
Lunar Liftoff | 545R -> 545R - Y Gyro Drift Comp (.01deg/hr)
Lunar Liftoff | 546R -> 546R - Z Gyro Drift Comp (.01deg/hr)
Lunar Liftoff | 400+3E -> 400+3E - IMU Align
Lunar Liftoff | 413+1E -> 413+1E - Store Lunar Azimuth
Lunar Liftoff | 047R -> 047R - Sine of Landing Azimuth Angle (Octal)
Lunar Liftoff | 053R -> 053R - Cosine of Landing Azimuth Angle (Octal)
Lunar Liftoff | 047 -> 047 - Sine of Landing Azimuth Angle (Octal)
Lunar Liftoff | 053 -> 053 - Cosine of Landing Azimuth Angle (Octal)
Lunar Liftoff | 225 -> 225 - Lower limit of aL (O.I.) (100 ft)
Lunar Liftoff | 226 -> 226 - Upper limit of aL (O.I.) (100 ft)
Lunar Liftoff | 231 -> 231 - Radial Distance of Launch Site From Center of Moon (100 ft)
Lunar Liftoff | 232R (+00600) -> 232R (+00600) - Orbit Insertion Altitude (100 ft)
Lunar Liftoff | 465R (+00320) -> 465R (+00320) - Target Radial Rate at Insertion (.1fps)
Lunar Liftoff | 410R (+00000) -> 410R (+00000) - GUIDANCE MODE SELECTOR
Lunar Liftoff | 547R (+00000) -> 547R (+00000) - Lunar Align Azimuth Correction (Octal)
Lunar Liftoff | 623+0 -> 623+0 - Z Body Parallel to CSM Orbit Plane When in Guidance Steering (400 set to +10000)
Lunar Liftoff | 400+4E -> 400+4E - Lunar Align
Lunar Liftoff | 400+1 -> 400+1 - Auto Guidance Steering
Lunar Liftoff | 500R -> 500R - dVgx (LM) (+ Up) (.1fps)
Lunar Liftoff | 500R -> 500R - dVgx (LM) (+ Up) (.1fps)
Lunar Liftoff | 315R (HA) -> 315R (HA) - Predicted Altitude of LM Apogee (.1 nm)
Lunar Liftoff | 403R (HP) -> 403R (HP) - LM Perigee Altitude (Hp) (.1 nm)
Lunar Liftoff | 313R (TFF) -> 313R (TFF) - Time to Pericynthian (.01 min)
Rendezvous | 417+1 -> 417+1 - Initialize Radar Filter
Rendezvous | 410+1 -> 410+1 - CSI Routine
Rendezvous | 373+ -> 373+ - AGS TIG CSI,CDH,TPI/TPM (.1 min)
Rendezvous | 275+ -> 275+ - Desired TIG TPI (for CSI calc only) (.1 min)
Rendezvous | 605+ -> 605+ - Desired Cotangent of LOS at TPI (COTAN LOS TPI) (Octal)
Rendezvous | 416+1 -> 416+1 - For CSI Calculation Select CDH At 1/2 orbital period following CSI
Rendezvous | 623+0 -> 623+0 - Z Body Parallel to CSM Orbit Plane When in Guidance Steering (400 set to +10000)
Rendezvous | 451+0 -> 451+0 - dVY (LV) (+Rt) (.1fps)
Rendezvous | 616+00007 -> 616+00007 - Ullage counter value for ullage completion (2 sec)
CSI | 400+3 -> 400+3 - IMU Align
CSI | 400R -> 400R - AGS FUNCTION SELECTOR
CSI | 317R (Range) -> 317R (Range) - LM to CSM Range (R) (Computed) (.1 nm)
CSI | 440R (Range Rate) -> 440R (Range Rate) - Range Rate Between LM and CSM (RDOT) (-closing) (.1fps)
CSI | 277R (Theta) -> 277R (Theta) - Angle Between Local Horizon and Z body Axls (.01deg)
CSI | 310R -> 310R - Targeted TFI TPI (For TPI Search Routine) (.01 min)
CSI | 400+2 -> 400+2 - Z-Body Axis Steering
CSI | 317R (Range) -> 317R (Range) - LM to CSM Range (R) (Computed) (.1 nm)
CSI | 440R (Range Rate) -> 440R (Range Rate) - Range Rate Between LM and CSM (RDOT) (-closing) (.1fps)
CSI | 400+3 -> 400+3 - IMU Align
CSI | 400R -> 400R - AGS FUNCTION SELECTOR
CSI | 277R (Theta) -> 277R (Theta) - Angle Between Local Horizon and Z body Axls (.01deg)
CSI | 400+0 -> 400+0 - Attitude Hold
CSI | 410+5 -> 410+5 - External dV
CSI | 450 -> 450 - dVX (LV) (+Fwd) (.1fps)
CSI | 451 -> 451 - dVY (LV) (+Rt) (.1fps)
CSI | 452 -> 452 - dVZ (LV) (+Dn) (.1fps)
CSI | 407+0 -> 407+0 - Use Rotating External dV Reference Frame
CSI | 502R -> 502R - dVgz (LM) (+ Fwd) (.1fps)
CSI | 407+1 -> 407+1 - Freeze External dV in Inertial Space and allow dVs to Count
CSI | 502R -> 502R - dVgz (LM) (+ Fwd) (.1fps)
CDH | 400+2 -> 400+2 - Z-Body Axis Steering
CDH | 417+1 -> 417+1 - Initialize Radar Filter
CDH | 410+2 -> 410+2 - CDH Routine
CDH | 373R -> 373R - AGS TIG CSI,CDH,TPI/TPM (.1 min)
CDH | 310R -> 310R - Targeted TFI TPI (For TPI Search Routine) (.01 min)
CDH | 477R -> 477R - Predicted HDOT at CSI,CDH, or TPI time (.1fps)
CDH | 402R -> 402R - dH in Coelliptic Orbit (CSI,CDH), Predicted Hp (TPI) (.1 nm)
CDH | 450R -> 450R - dVX (LV) (+Fwd) (.1fps)
CDH | 452R -> 452R - dVZ (LV) (+Dn) (.1fps)
CDH | 317R (Range) -> 317R (Range) - LM to CSM Range (R) (Computed) (.1 nm)
CDH | 440R (Range Rate) -> 440R (Range Rate) - Range Rate Between LM and CSM (RDOT) (-closing) (.1fps)
CDH | 400+3 -> 400+3 - IMU Align
CDH | 400R -> 400R - AGS FUNCTION SELECTOR
CDH | 277R (Theta) -> 277R (Theta) - Angle Between Local Horizon and Z body Axls (.01deg)
CDH | 400+0 -> 400+0 - Attitude Hold
CDH | 410+5 -> 410+5 - External dV
CDH | 450 -> 450 - dVX (LV) (+Fwd) (.1fps)
CDH | 451 -> 451 - dVY (LV) (+Rt) (.1fps)
CDH | 452 -> 452 - dVZ (LV) (+Dn) (.1fps)
CDH | 407+0 -> 407+0 - Use Rotating External dV Reference Frame
CDH | 500R -> 500R - dVgx (LM) (+ Up) (.1fps)
CDH | 407+1 -> 407+1 - Freeze External dV in Inertial Space and allow dVs to Count
CDH | 500R -> 500R - dVgx (LM) (+ Up) (.1fps)
PC | 410+5 -> 410+5 - External dV
PC | 450+0 -> 450+0 - dVX (LV) (+Fwd) (.1fps)
PC | 451 -> 451 - dVY (LV) (+Rt) (.1fps)
PC | 452+0 -> 452+0 - dVZ (LV) (+Dn) (.1fps)
PC | 407+0 -> 407+0 - Use Rotating External dV Reference Frame
PC | 270R -> 270R - Present Vy Out-of-CSM Orbit Plane Velocity (Vyo) (.1fps)
PC | 501R -> 501R - dVgy (LM) (+ Rt) (.1fps)
PC | 407+1 -> 407+1 - Freeze External dV in Inertial Space and allow dVs to Count
PC | 270R -> 270R - Present Vy Out-of-CSM Orbit Plane Velocity (Vyo) (.1fps)
PC | 417+1 -> 417+1 - Initialize Radar Filter
PC | 410+2 -> 410+2 - CDH Routine
PC | 451+0 -> 451+0 - dVY (LV) (+Rt) (.1fps)
TPI | 400+2 -> 400+2 - Z-Body Axis Steering
TPI | 417+1 -> 417+1 - Initialize Radar Filter
TPI | 410+3 -> 410+3 - TPI Search Routine
TPI | 307+04300 -> 307+04300 - Time from TPI to rendezvous (.01 min)
TPI | 310+02600 (No Enter) -> 310+02600 (No Enter) - Targeted TFI TPI (For TPI Search Routine) (.01 min)
