PDI | N33E (TIG) -> N33E (TIG) - TIG (hrs min .01sec)
PDI | V83E -> V83E - Rendezvous Parameter Display (R31)
PDI | N20E -> N20E - ICDU Angles Y,P,R (OG,IG,MG) (.01°)
PDI | V40E -> V40E - Zero CDU’s (Specify N20 or N72)
PDI | V77E -> V77E - Set Rate Command/Attitude Hold Mode in DAP
PDI | V16 N68E -> V16 N68E - Monitor Decimal - R1=Slant Range to LS, R2=TF Braking, R3=LR Alt-Comp Alt (.1nm min-sec ft)
PDI | V57E -> V57E - Permit LR Update
PDI | V16 N68E -> V16 N68E - Monitor Decimal - R1=Slant Range to LS, R2=TF Braking, R3=LR Alt-Comp Alt (.1nm min-sec ft)
PDI | V37E 68E -> V37E 68E - Change Program - Landing Confirmation
PDI | V37E 12E -> V37E 12E - Change Program - Powered Ascent
PDI | V40 N20E -> V40 N20E - Zero CDU’s (Specify N20 or N72) - ICDU Angles Y,P,R (OG,IG,MG) (.01°)
PDI | V37E 00E -> V37E 00E - Change Program - LGC Idle
Lunar Surface Operations | V37E 00E -> V37E 00E - Change Program - LGC Idle
Lunar Surface Operations | V76E -> V76E - Set Min Impulse Mode in DAP
Lunar Surface Operations | V37E 57E -> V37E 57E - Change Program - Lunar Surface Align
Lunar Surface Operations | V22E -> V22E - Load Component 2 in R2
Lunar Surface Operations | V22E -> V22E - Load Component 2 in R2
Lunar Surface Operations | V16 N20 Monitor Coarse Align -> V16 N20 Monitor Coarse Align - Monitor Decimal - ICDU Angles Y,P,R (OG,IG,MG) (.01°)
Lunar Surface Operations | V32E -> V32E - Recycle
Lunar Surface Operations | V34E -> V34E - Terminate
Lunar Surface Operations | 00E -> 00E - LGC Idle
Lunar Surface Operations | V40 N20E -> V40 N20E - Zero CDU’s (Specify N20 or N72) - ICDU Angles Y,P,R (OG,IG,MG) (.01°)
Lunar Surface Operations | V37E 57E -> V37E 57E - Change Program - Lunar Surface Align
Lunar Surface Operations | V22E -> V22E - Load Component 2 in R2
Lunar Surface Operations | V22E -> V22E - Load Component 2 in R2
Lunar Surface Operations | V32E (Recycle) -> V32E (Recycle) - Recycle
Lunar Surface Operations | V32E (Recycle) -> V32E (Recycle) - Recycle
Lunar Surface Operations | V32E (Recycle) -> V32E (Recycle) - Recycle
Lunar Surface Operations | V32E (Recycle) -> V32E (Recycle) - Recycle
Lunar Surface Operations | V41 N72E -> V41 N72E - Coarse Align CDU’s (Specify N20 or N72) - R1=RR Trunnion Angle, R2=RR Shaft Angle (.01°)
Lunar Surface Operations | V16 N72E -> V16 N72E - Monitor Decimal - R1=RR Trunnion Angle, R2=RR Shaft Angle (.01°)
Lunar Surface Operations | V44E -> V44E - Terminate Continuous Designate (V41N72 Option 2)
Lunar Surface Operations | 00E -> 00E - LGC Idle
Lunar Surface Operations | V37E 57E -> V37E 57E - Change Program - Lunar Surface Align
Lunar Surface Operations | V22E -> V22E - Load Component 2 in R2
Lunar Surface Operations | V22E -> V22E - Load Component 2 in R2
Lunar Surface Operations | V16 N20 Monitor Gravity Measurement -> V16 N20 Monitor Gravity Measurement - Monitor Decimal - ICDU Angles Y,P,R (OG,IG,MG) (.01°)
Lunar Surface Operations | V32E (Recycle) -> V32E (Recycle) - Recycle
Lunar Surface Operations | V32E (Recycle) -> V32E (Recycle) - Recycle
Lunar Surface Operations | V34E -> V34E - Terminate
Lunar Surface Operations | 00E -> 00E - LGC Idle
Lunar Surface Operations | V48E -> V48E - Load DAP Data (R03)
Lunar Surface Operations | V21E -> V21E - Load Component 1 in R1
Lunar Surface Operations | V21E -> V21E - Load Component 1 in R1
Lunar Surface Operations | V37E 12E -> V37E 12E - Change Program - Powered Ascent
Lunar Surface Operations | V37E 00E -> V37E 00E - Change Program - LGC Idle
Lunar Surface Operations | V37E 00E -> V37E 00E - Change Program - LGC Idle
Lunar Surface Operations | V16 N65E -> V16 N65E - Monitor Decimal - (noun not found)
Lunar Liftoff | V37E 57E -> V37E 57E - Change Program - Lunar Surface Align
Lunar Liftoff | V22E -> V22E - Load Component 2 in R2
Lunar Liftoff | V22E -> V22E - Load Component 2 in R2
Lunar Liftoff | V16 N20 Monitor Coarse Align -> V16 N20 Monitor Coarse Align - Monitor Decimal - ICDU Angles Y,P,R (OG,IG,MG) (.01°)
Lunar Liftoff | V32E (Recycle) -> V32E (Recycle) - Recycle
Lunar Liftoff | V32E (Recycle) -> V32E (Recycle) - Recycle
Lunar Liftoff | V34E -> V34E - Terminate
Lunar Liftoff | 00E -> 00E - LGC Idle
Lunar Liftoff | V25 N07E -> V25 N07E - Load Component 1&2&3 - Flag Word Operator, R1=ECADR, R2=BIT ID, R3=Action (Octal)
Lunar Liftoff | 10E -> 10E - (program not found)
Lunar Liftoff | V63E -> V63E - Start RR/LR Self-Test
Lunar Liftoff | V34E -> V34E - Terminate
Lunar Liftoff | V40 N72E -> V40 N72E - Zero CDU’s (Specify N20 or N72) - R1=RR Trunnion Angle, R2=RR Shaft Angle (.01°)
Lunar Liftoff | V77E -> V77E - Set Rate Command/Attitude Hold Mode in DAP
Lunar Liftoff | V15 N01E -> V15 N01E - Monitor Octal Comp 1,2&3 - Address to be Specified (Frac) (.XXXXX)
Lunar Liftoff | 42E -> 42E - APS (Ascent Propulsion System)
Lunar Liftoff | V76E -> V76E - Set Min Impulse Mode in DAP
Lunar Liftoff | V11 N10E -> V11 N10E - Monitor Octal Comp 1 in R1 - Channel to be Specified (Octal)
Lunar Liftoff | 31E -> 31E - Lambert Aim Point Guidance
Lunar Liftoff | V41 N72E -> V41 N72E - Coarse Align CDU’s (Specify N20 or N72) - R1=RR Trunnion Angle, R2=RR Shaft Angle (.01°)
Lunar Liftoff | V16 N72E -> V16 N72E - Monitor Decimal - R1=RR Trunnion Angle, R2=RR Shaft Angle (.01°)
Lunar Liftoff | V44E -> V44E - Terminate Continuous Designate (V41N72 Option 2)
Lunar Liftoff | V37E 57E -> V37E 57E - Change Program - Lunar Surface Align
Lunar Liftoff | V22E -> V22E - Load Component 2 in R2
Lunar Liftoff | V22E -> V22E - Load Component 2 in R2
Lunar Liftoff | V16 N20 Monitor Gravity Measurement -> V16 N20 Monitor Gravity Measurement - Monitor Decimal - ICDU Angles Y,P,R (OG,IG,MG) (.01°)
Lunar Liftoff | V32E (Recycle) -> V32E (Recycle) - Recycle
Lunar Liftoff | V32E (Recycle) -> V32E (Recycle) - Recycle
Lunar Liftoff | V34E -> V34E - Terminate
Lunar Liftoff | 00E -> 00E - LGC Idle
Lunar Liftoff | V41 N72E -> V41 N72E - Coarse Align CDU’s (Specify N20 or N72) - R1=RR Trunnion Angle, R2=RR Shaft Angle (.01°)
Lunar Liftoff | V16 N72E -> V16 N72E - Monitor Decimal - R1=RR Trunnion Angle, R2=RR Shaft Angle (.01°)
Lunar Liftoff | V44E -> V44E - Terminate Continuous Designate (V41N72 Option 2)
Lunar Liftoff | V48E -> V48E - Load DAP Data (R03)
Lunar Liftoff | V21E -> V21E - Load Component 1 in R1
Lunar Liftoff | V21E -> V21E - Load Component 1 in R1
Lunar Liftoff | V77E -> V77E - Set Rate Command/Attitude Hold Mode in DAP
Lunar Liftoff | V37E 12E -> V37E 12E - Change Program - Powered Ascent
Lunar Liftoff | N76E -> N76E - R1=V (HOR), R2=V (VERT), R3=Crossrange (.1fps .1fps .1nm)
Lunar Liftoff | V16 N77E -> V16 N77E - Monitor Decimal - R1=T to Engine Cutoff, R2=Velocity Normal To CSM Plane (min-sec .1fps)
Lunar Liftoff | N85E -> N85E - R1=?GX (LM) (+Up), R2=?GY (LM) (+Rt), R3=?GZ (LM) (+Fwd) (.1fps)
Lunar Liftoff | V82E -> V82E - Request Orbit Parameter Display (R30)
